"new_key","survey_number","nhdid","gear2","effort_new","fish_count_new","year","day_of_year","secchi_m","lake_area_m2","maxdepth_m","ws_forest_prop","ws_wetland_prop","surface_temp_c","FMU_Code","LONG_DD","LAT_DD"
"10-24",4744,129224200,"SHOCK",30,2,2004,183,NA,1805090.96798996,17.99,0.77414,0.02066,NA,"MI-MCM",-86.21482,44.56471
"10-39",8445,129223861,"FT_NET",12,4,2010,144,NA,10244073.805188,27.44,0.54657,0.19885,NA,"MI-MCM",-86.09232,44.6911
"10-39",8445,129223861,"GILL",8,0,2010,144,NA,10244073.805188,27.44,0.54657,0.19885,NA,"MI-MCM",-86.09232,44.6911
"10-39",8445,129223861,"SEINE",6,0,2010,194,NA,10244073.805188,27.44,0.54657,0.19885,NA,"MI-MCM",-86.09232,44.6911
"10-39",8445,129223861,"SHOCK",30,39,2010,194,NA,10244073.805188,27.44,0.54657,0.19885,NA,"MI-MCM",-86.09232,44.6911
"10-66",10987,129224113,"FT_NET",9,19,2016,172,4.57317073170732,1224799.78754401,NA,0.50445,0.02163,NA,"MI-MCM",-85.91926,44.76304
"10-66",10987,129224113,"GILL",6,15,2016,172,4.57317073170732,1224799.78754401,NA,0.50445,0.02163,NA,"MI-MCM",-85.91926,44.76304
"10-66",10987,129224113,"SEINE",4,19,2016,179,4.57317073170732,1224799.78754401,NA,0.50445,0.02163,NA,"MI-MCM",-85.91926,44.76304
"10-66",10987,129224113,"SHOCK",30,45,2016,179,4.57317073170732,1224799.78754401,NA,0.50445,0.02163,NA,"MI-MCM",-85.91926,44.76304
"10-77",7232,129224103,"FT_NET",11,22,2007,162,2.74390243902439,118846.361984541,10.06,0.58559,0.00623,19.361,"MI-MCM",-85.93593,44.77527
"10-77",7232,129224103,"GILL",2,2,2007,163,2.74390243902439,118846.361984541,10.06,0.58559,0.00623,19.361,"MI-MCM",-85.93593,44.77527
"10-95",5372,129225118,"FT_NET",10,70,2004,166,3.01829268292683,157112.54052851,11.28,0.65605,0.08317,21.489,"MI-MCM",-85.86149,44.74054
"10-95",5372,129225118,"GILL",3,15,2004,166,3.01829268292683,157112.54052851,11.28,0.65605,0.08317,21.489,"MI-MCM",-85.86149,44.74054
"12-121",10029,155637885,"FT_NET",9,14,2013,126,NA,363231.574845211,19.82,0.14717,0.19851,NA,"MI-MSM",-85.03759,41.76804
"12-121",10029,155637885,"GILL",4,7,2013,126,NA,363231.574845211,19.82,0.14717,0.19851,NA,"MI-MSM",-85.03759,41.76804
"12-121",10029,155637885,"SEINE",3,2,2013,129,NA,363231.574845211,19.82,0.14717,0.19851,NA,"MI-MSM",-85.03759,41.76804
"12-121",10029,155637885,"SHOCK",30,49,2013,129,NA,363231.574845211,19.82,0.14717,0.19851,NA,"MI-MSM",-85.03759,41.76804
"12-21",9363,155636452,"FT_NET",13,381,2012,156,3.35365853658537,465751.200679859,7.62,0.03524,0.12528,NA,"MI-MSM",-85.0287,42.00416
"12-21",9363,155636452,"GILL",6,5,2012,156,3.35365853658537,465751.200679859,7.62,0.03524,0.12528,NA,"MI-MSM",-85.0287,42.00416
"12-21",9363,155636452,"SEINE",4,0,2012,159,3.35365853658537,465751.200679859,7.62,0.03524,0.12528,NA,"MI-MSM",-85.0287,42.00416
"12-21",9363,155636452,"SHOCK",30,99,2012,160,3.35365853658537,465751.200679859,7.62,0.03524,0.12528,NA,"MI-MSM",-85.0287,42.00416
"12-23",9309,155636544,"FT_NET",17,32,2012,156,3.20121951219512,1156650.72396908,16.46,0.08306,0.08272,NA,"MI-MSM",-85.02926,41.98832
"12-23",9309,155636544,"GILL",4,7,2012,156,3.20121951219512,1156650.72396908,16.46,0.08306,0.08272,NA,"MI-MSM",-85.02926,41.98832
"12-23",9309,155636544,"SEINE",4,1,2012,159,3.20121951219512,1156650.72396908,16.46,0.08306,0.08272,NA,"MI-MSM",-85.02926,41.98832
"12-23",9309,155636544,"SHOCK",30,85,2012,159,3.20121951219512,1156650.72396908,16.46,0.08306,0.08272,NA,"MI-MSM",-85.02926,41.98832
"12-76",8893,155637174,"FT_NET",15,24,2011,129,1.52439024390244,633827.350167941,NA,0.11167,0.1033,20.3,"MI-MSM",-84.92259,41.88249
"12-76",8893,155637174,"GILL",6,2,2011,129,1.52439024390244,633827.350167941,NA,0.11167,0.1033,20.3,"MI-MSM",-84.92259,41.88249
"12-76",8893,155637174,"SEINE",3,0,2011,138,1.52439024390244,633827.350167941,NA,0.11167,0.1033,20.3,"MI-MSM",-84.92259,41.88249
"12-76",8893,155637174,"SHOCK",30,161,2011,138,1.52439024390244,633827.350167941,NA,0.11167,0.1033,20.3,"MI-MSM",-84.92259,41.88249
"12-86",8897,155637334,"FT_NET",16,18,2011,129,1.21951219512195,485902.390838088,14.02,0.08681,0.45411,20.35,"MI-MSM",-84.96676,41.84999
"12-86",8897,155637334,"GILL",6,2,2011,129,1.21951219512195,485902.390838088,14.02,0.08681,0.45411,20.35,"MI-MSM",-84.96676,41.84999
"12-86",8897,155637334,"SEINE",4,1,2011,139,1.21951219512195,485902.390838088,14.02,0.08681,0.45411,20.35,"MI-MSM",-84.96676,41.84999
"12-86",8897,155637334,"SHOCK",30,121,2011,139,1.21951219512195,485902.390838088,14.02,0.08681,0.45411,20.35,"MI-MSM",-84.96676,41.84999
"12-90",10192,155637570,"FT_NET",24,23,2014,139,4.11585365853659,6390158.18866092,28.35,0.07785,0.16019,NA,"MI-MSM",-84.97565,41.82304
"12-90",10192,155637570,"GILL",12,3,2014,139,4.11585365853659,6390158.18866092,28.35,0.07785,0.16019,NA,"MI-MSM",-84.97565,41.82304
"12-90",10192,155637570,"SEINE",6,4,2014,149,4.11585365853659,6390158.18866092,28.35,0.07785,0.16019,NA,"MI-MSM",-84.97565,41.82304
"12-90",10192,155637570,"SHOCK",40,52,2014,149,4.11585365853659,6390158.18866092,28.35,0.07785,0.16019,NA,"MI-MSM",-84.97565,41.82304
"13-23",10095,152518193,"FT_NET",9,4,2013,140,NA,358542.480555218,7.01,0.18658,0.1481,NA,"MI-MSM",-84.79565,42.34554
"13-23",10095,152518193,"GILL",4,1,2013,140,NA,358542.480555218,7.01,0.18658,0.1481,NA,"MI-MSM",-84.79565,42.34554
"13-23",10095,152518193,"SEINE",3,21,2013,157,NA,358542.480555218,7.01,0.18658,0.1481,NA,"MI-MSM",-84.79565,42.34554
"13-23",10095,152518193,"SHOCK",30,54,2013,157,NA,358542.480555218,7.01,0.18658,0.1481,NA,"MI-MSM",-84.79565,42.34554
"14-154",6249,155637285,"FT_NET",6,3,2006,135,1.82926829268293,209191.087936546,4.57,0.37112,0.1141,NA,"MI-MSM",-85.88065,41.93888
"14-154",6249,155637285,"GILL",4,1,2006,135,1.82926829268293,209191.087936546,4.57,0.37112,0.1141,NA,"MI-MSM",-85.88065,41.93888
"14-154",6249,155637285,"SHOCK",30,32,2006,158,1.82926829268293,209191.087936546,4.57,0.37112,0.1141,NA,"MI-MSM",-85.88065,41.93888
"15-15",3496,155417344,"FT_NET",21,87,2003,132,NA,1876689.74667152,6.1,0.48197,0.04238,24,"MI-MCM",-84.9776,45.16832
"15-15",3496,155417344,"GILL",4,2,2003,132,NA,1876689.74667152,6.1,0.48197,0.04238,24,"MI-MCM",-84.9776,45.16832
"15-15",3496,155417344,"SEINE",4,2,2003,203,NA,1876689.74667152,6.1,0.48197,0.04238,24,"MI-MCM",-84.9776,45.16832
"15-15",3496,155417344,"SHOCK",30,1,2003,203,NA,1876689.74667152,6.1,0.48197,0.04238,24,"MI-MCM",-84.9776,45.16832
"15-21",6296,155417357,"FT_NET",22,0,2006,163,NA,70109835.2150864,38.11,0.39473,0.13018,19.444,"MI-MCM",-85.13343,45.26665
"15-21",6296,155417357,"GILL",24,0,2006,163,NA,70109835.2150864,38.11,0.39473,0.13018,19.444,"MI-MCM",-85.13343,45.26665
"15-21",6296,155417357,"SEINE",21,0,2006,157,NA,70109835.2150864,38.11,0.39473,0.13018,19.444,"MI-MCM",-85.13343,45.26665
"15-25",11081,155417299,"FT_NET",36,15,2016,165,NA,18521339.5168144,31.4,0.6167,0.04374,NA,"MI-MCM",-85.0001,45.27499
"15-25",11081,155417299,"GILL",18,0,2016,165,NA,18521339.5168144,31.4,0.6167,0.04374,NA,"MI-MCM",-85.0001,45.27499
"15-25",11081,155417299,"SEINE",8,0,2016,180,NA,18521339.5168144,31.4,0.6167,0.04374,NA,"MI-MCM",-85.0001,45.27499
"15-25",11081,155417299,"SHOCK",60.18333333,0,2016,180,NA,18521339.5168144,31.4,0.6167,0.04374,NA,"MI-MCM",-85.0001,45.27499
"15-56",9252,155417287,"FT_NET",12,25,2012,170,2.74390243902439,508315.243009186,4.57,0.36995,0.1217,21.511,"MI-MCM",-85.18121,45.3261
"15-56",9252,155417287,"GILL",4,6,2012,171,2.74390243902439,508315.243009186,4.57,0.36995,0.1217,21.511,"MI-MCM",-85.18121,45.3261
"15-56",9252,155417287,"SEINE",4,2,2012,192,2.74390243902439,508315.243009186,4.57,0.36995,0.1217,21.511,"MI-MCM",-85.18121,45.3261
"15-56",9252,155417287,"SHOCK",30,25,2012,192,2.74390243902439,508315.243009186,4.57,0.36995,0.1217,21.511,"MI-MCM",-85.18121,45.3261
"16-192",11374,155411040,"FT_NET",63,6,2017,156,3.65853658536585,67589331.5527498,36.59,0.50825,0.17542,22.056,"MI-MNH",-84.51676,45.5361
"16-192",11374,155411040,"GILL",32,0,2017,156,3.65853658536585,67589331.5527498,36.59,0.50825,0.17542,22.056,"MI-MNH",-84.51676,45.5361
"16-192",11374,155411040,"SEINE",10,0,2017,157,3.65853658536585,67589331.5527498,36.59,0.50825,0.17542,22.056,"MI-MNH",-84.51676,45.5361
"16-192",11374,155411040,"SHOCK",40,0,2017,150,3.65853658536585,67589331.5527498,36.59,0.50825,0.17542,22.056,"MI-MNH",-84.51676,45.5361
"16-193",10630,155411074,"FT_NET",55,2,2015,152,3.50609756097561,70394173.121282,21.95,0.61072,0.08226,21.889,"MI-MNH",-84.66676,45.46666
"16-193",10630,155411074,"GILL",24,0,2015,152,3.50609756097561,70394173.121282,21.95,0.61072,0.08226,21.889,"MI-MNH",-84.66676,45.46666
"16-193",10630,155411074,"SEINE",10,0,2015,159,3.50609756097561,70394173.121282,21.95,0.61072,0.08226,21.889,"MI-MNH",-84.66676,45.46666
"16-193",10630,155411074,"SHOCK",40,0,2015,154,3.50609756097561,70394173.121282,21.95,0.61072,0.08226,21.889,"MI-MNH",-84.66676,45.46666
"16-194",9672,155408451,"FT_NET",15,28,2013,161,3.8109756097561,814933.185625835,22.26,0.6993,0.14987,24,"MI-MNH",-84.28732,45.53749
"16-194",9672,155408451,"GILL",4,0,2013,161,3.8109756097561,814933.185625835,22.26,0.6993,0.14987,24,"MI-MNH",-84.28732,45.53749
"16-194",9672,155408451,"SHOCK",30,41,2013,175,3.8109756097561,814933.185625835,22.26,0.6993,0.14987,24,"MI-MNH",-84.28732,45.53749
"16-205",4742,155408453,"FT_NET",21,34,2004,131,NA,1534011.52968314,18.6,0.63413,0.14315,23.35,"MI-MNH",-84.39871,45.53471
"16-205",4742,155408453,"GILL",8,0,2004,132,NA,1534011.52968314,18.6,0.63413,0.14315,23.35,"MI-MNH",-84.39871,45.53471
"16-250",5500,155410950,"FT_NET",18,21,2005,129,NA,205124.04597143,17.38,0.16156,0.67091,NA,"MI-MNH",-84.70788,45.62193
"16-250",5500,155410950,"GILL",6,1,2005,130,NA,205124.04597143,17.38,0.16156,0.67091,NA,"MI-MNH",-84.70788,45.62193
"16-250",5500,155410950,"SEINE",1,0,2005,130,NA,205124.04597143,17.38,0.16156,0.67091,NA,"MI-MNH",-84.70788,45.62193
"16-252",10312,155410978,"FT_NET",32,51,2014,153,3.96341463414634,15081860.2889401,25.61,0.38371,0.47461,21.9,"MI-MNH",-84.69704,45.5811
"16-252",10312,155410978,"GILL",8,0,2014,153,3.96341463414634,15081860.2889401,25.61,0.38371,0.47461,21.9,"MI-MNH",-84.69704,45.5811
"16-252",10312,155410978,"SEINE",6,0,2014,155,3.96341463414634,15081860.2889401,25.61,0.38371,0.47461,21.9,"MI-MNH",-84.69704,45.5811
"16-252",10312,155410978,"SHOCK",40,5,2014,175,3.96341463414634,15081860.2889401,25.61,0.38371,0.47461,21.9,"MI-MNH",-84.69704,45.5811
"16-82",8475,155411126,"FT_NET",10,0,2010,144,7.31707317073171,273532.267654081,26.52,0.42706,0.0215,24.217,"MI-MNH",-84.63288,45.26943
"16-82",8475,155411126,"GILL",4,0,2010,144,7.31707317073171,273532.267654081,26.52,0.42706,0.0215,24.217,"MI-MNH",-84.63288,45.26943
"16-82",8475,155411126,"SEINE",4,0,2010,146,7.31707317073171,273532.267654081,26.52,0.42706,0.0215,24.217,"MI-MNH",-84.63288,45.26943
"16-82",8475,155411126,"SHOCK",40.8,0,2010,174,7.31707317073171,273532.267654081,26.52,0.42706,0.0215,24.217,"MI-MNH",-84.63288,45.26943
"17-209",5511,123110970,"FT_NET",24,0,2005,143,3.50609756097561,2439646.85848408,10.98,0.33481,0.50245,22.228,"MI-MNH",-85.04177,46.18332
"17-209",5511,123110970,"GILL",8,0,2005,143,3.50609756097561,2439646.85848408,10.98,0.33481,0.50245,22.228,"MI-MNH",-85.04177,46.18332
"17-209",5511,123110970,"SEINE",5,0,2005,143,3.50609756097561,2439646.85848408,10.98,0.33481,0.50245,22.228,"MI-MNH",-85.04177,46.18332
"17-209",5511,123110970,"SHOCK",30,2,2005,243,3.50609756097561,2439646.85848408,10.98,0.33481,0.50245,22.228,"MI-MNH",-85.04177,46.18332
"17-211",4509,123110915,"FT_NET",31,0,2004,145,NA,749315.032576585,6.71,0.36527,0.4103,20,"MI-MNH",-85.01565,46.1836
"17-211",4509,123110915,"GILL",14,0,2004,145,NA,749315.032576585,6.71,0.36527,0.4103,20,"MI-MNH",-85.01565,46.1836
"17-211",4509,123110915,"SEINE",3,0,2004,146,NA,749315.032576585,6.71,0.36527,0.4103,20,"MI-MNH",-85.01565,46.1836
"17-211",4509,123110915,"SHOCK",30,3,2004,231,NA,749315.032576585,6.71,0.36527,0.4103,20,"MI-MNH",-85.01565,46.1836
"17-265",6452,86671673,"FT_NET",3,0,2006,241,1.79878048780488,63440.5620169156,2.74,0.92017,0.04425,22.778,"MI-MES",-84.9801,46.31749
"17-265",6452,86671673,"SEINE",2,0,2006,241,1.79878048780488,63440.5620169156,2.74,0.92017,0.04425,22.778,"MI-MES",-84.9801,46.31749
"17-267",4684,86671661,"FT_NET",18,0,2004,153,NA,45387.3908785561,2.44,0.80288,0.10681,NA,"MI-MES",-84.98454,46.3211
"17-403",7801,83826083,"FT_NET",21,0,2009,160,NA,694113.793856987,17.07,0.96382,0.02453,19.444,"MI-MES",-84.64593,46.47416
"17-403",7801,83826083,"GILL",5,0,2009,160,NA,694113.793856987,17.07,0.96382,0.02453,19.444,"MI-MES",-84.64593,46.47416
"17-403",7801,83826083,"SHOCK",28.8,0,2009,207,NA,694113.793856987,17.07,0.96382,0.02453,19.444,"MI-MES",-84.64593,46.47416
"17-469",4163,109943538,"FT_NET",20,0,2003,188,NA,2067710.70454453,NA,0.01875,0.97314,NA,"MI-MES",-85.22954,46.64138
"17-469",4163,109943538,"SEINE",2,0,2003,191,NA,2067710.70454453,NA,0.01875,0.97314,NA,"MI-MES",-85.22954,46.64138
"17-497",6453,109943336,"FT_NET",8,0,2006,235,1.21951219512195,110955.471814172,NA,0.02685,0.83523,23.889,"MI-MES",-85.12343,46.75693
"17-497",6453,109943336,"SEINE",4,0,2006,235,1.21951219512195,110955.471814172,NA,0.02685,0.83523,23.889,"MI-MES",-85.12343,46.75693
"17-514",9221,109943390,"FT_NET",18,0,2012,156,1.67682926829268,1104794.63194529,NA,0.26609,0.31486,NA,"MI-MES",-85.06954,46.71054
"17-514",9221,109943390,"SEINE",5,0,2012,156,1.67682926829268,1104794.63194529,NA,0.26609,0.31486,NA,"MI-MES",-85.06954,46.71054
"17-514",9221,109943390,"SHOCK",30.26666667,0,2012,165,1.67682926829268,1104794.63194529,NA,0.26609,0.31486,NA,"MI-MES",-85.06954,46.71054
"18-12",10528,149759357,"FT_NET",9,1,2015,138,3.44512195121951,237754.61676986,3.05,0.01849,0.11763,22.539,"MI-MSH",-84.76083,43.83123
"18-12",10528,149759357,"GILL",4,4,2015,138,3.44512195121951,237754.61676986,3.05,0.01849,0.11763,22.539,"MI-MSH",-84.76083,43.83123
"18-12",10528,149759357,"SEINE",3,0,2015,138,3.44512195121951,237754.61676986,3.05,0.01849,0.11763,22.539,"MI-MSH",-84.76083,43.83123
"18-12",10528,149759357,"SHOCK",33.33333333,58,2015,141,3.44512195121951,237754.61676986,3.05,0.01849,0.11763,22.539,"MI-MSH",-84.76083,43.83123
"18-123",6918,121858908,"FT_NET",8,6,2007,169,NA,770708.547205698,2.74,0.82757,0.08018,NA,"MI-MCM",-84.90315,43.99443
"18-123",6918,121858908,"SHOCK",30,22,2007,276,NA,770708.547205698,2.74,0.82757,0.08018,NA,"MI-MCM",-84.90315,43.99443
"18-125",11439,121859022,"FT_NET",9,30,2017,121,2.13414634146341,523574.519040104,7.62,0.78092,0.01472,21.722,"MI-MCM",-84.92787,43.95027
"18-125",11439,121859022,"GILL",6,5,2017,121,2.13414634146341,523574.519040104,7.62,0.78092,0.01472,21.722,"MI-MCM",-84.92787,43.95027
"18-125",11439,121859022,"SEINE",4,6,2017,138,2.13414634146341,523574.519040104,7.62,0.78092,0.01472,21.722,"MI-MCM",-84.92787,43.95027
"18-125",11439,121859022,"SHOCK",30,70,2017,138,2.13414634146341,523574.519040104,7.62,0.78092,0.01472,21.722,"MI-MCM",-84.92787,43.95027
"18-196",6889,149759161,"FT_NET",11,58,2007,142,4.57317073170732,661742.694751325,6.1,0.59802,0.06833,19.65,"MI-MSH",-84.74371,44.05749
"18-196",6889,149759161,"GILL",4,3,2007,141,4.57317073170732,661742.694751325,6.1,0.59802,0.06833,19.65,"MI-MSH",-84.74371,44.05749
"18-196",6889,149759161,"SEINE",4,1,2007,141,4.57317073170732,661742.694751325,6.1,0.59802,0.06833,19.65,"MI-MSH",-84.74371,44.05749
"18-196",6889,149759161,"SHOCK",30.6,50,2007,165,4.57317073170732,661742.694751325,6.1,0.59802,0.06833,19.65,"MI-MSH",-84.74371,44.05749
"18-197",9074,149759155,"FT_NET",11,31,2012,163,4.26829268292683,494034.040305937,25.61,0.63581,0.05695,23.011,"MI-MSH",-84.75204,44.06943
"18-197",9074,149759155,"GILL",2,19,2012,163,4.26829268292683,494034.040305937,25.61,0.63581,0.05695,23.011,"MI-MSH",-84.75204,44.06943
"18-197",9074,149759155,"SEINE",4,0,2012,163,4.26829268292683,494034.040305937,25.61,0.63581,0.05695,23.011,"MI-MSH",-84.75204,44.06943
"18-197",9074,149759155,"SHOCK",30,67,2012,192,4.26829268292683,494034.040305937,25.61,0.63581,0.05695,23.011,"MI-MSH",-84.75204,44.06943
"18-206",6888,149759180,"FT_NET",12,151,2007,127,4.26829268292683,708576.365990854,10.98,0.30565,0.00413,21,"MI-MSH",-84.79426,44.02027
"18-206",6888,149759180,"GILL",4,0,2007,127,4.26829268292683,708576.365990854,10.98,0.30565,0.00413,21,"MI-MSH",-84.79426,44.02027
"18-206",6888,149759180,"SEINE",4,0,2007,127,4.26829268292683,708576.365990854,10.98,0.30565,0.00413,21,"MI-MSH",-84.79426,44.02027
"18-206",6888,149759180,"SHOCK",30.6,42,2007,156,4.26829268292683,708576.365990854,10.98,0.30565,0.00413,21,"MI-MSH",-84.79426,44.02027
"18-215",8070,149759182,"FT_NET",9,64,2009,146,6.70731707317073,274121.450285298,18.6,0.38243,0.02759,NA,"MI-MSH",-84.7851,44.02638
"18-215",8070,149759182,"GILL",4,1,2009,146,6.70731707317073,274121.450285298,18.6,0.38243,0.02759,NA,"MI-MSH",-84.7851,44.02638
"18-215",8070,149759182,"SEINE",2,3,2009,146,6.70731707317073,274121.450285298,18.6,0.38243,0.02759,NA,"MI-MSH",-84.7851,44.02638
"18-215",8070,149759182,"SHOCK",28.8,47,2009,182,6.70731707317073,274121.450285298,18.6,0.38243,0.02759,NA,"MI-MSH",-84.7851,44.02638
"18-375",9745,149759249,"FT_NET",9,60,2013,161,3.90243902439024,119882.731050949,NA,0.28314,0.38318,22.728,"MI-MSH",-84.65596,43.96021
"18-375",9745,149759249,"GILL",2,0,2013,161,3.90243902439024,119882.731050949,NA,0.28314,0.38318,22.728,"MI-MSH",-84.65596,43.96021
"18-375",9745,149759249,"SHOCK",26.66666667,13,2013,171,3.90243902439024,119882.731050949,NA,0.28314,0.38318,22.728,"MI-MSH",-84.65596,43.96021
"18-5",10529,149759298,"FT_NET",9,15,2015,138,3.23170731707317,79342.7329934038,3.05,0.57044,0.30677,23.489,"MI-MSH",-84.82093,43.88166
"18-5",10529,149759298,"GILL",2,1,2015,138,3.23170731707317,79342.7329934038,3.05,0.57044,0.30677,23.489,"MI-MSH",-84.82093,43.88166
"18-57",7530,150436626,"FT_NET",15,28,2008,133,1.21951219512195,931609.511553559,1.22,0.36377,0.50411,24.672,"MI-MSH",-85.07426,43.90027
"18-57",7530,150436626,"SEINE",2,0,2008,133,1.21951219512195,931609.511553559,1.22,0.36377,0.50411,24.672,"MI-MSH",-85.07426,43.90027
"18-57",7530,150436626,"SHOCK",10.2,2,2008,162,1.21951219512195,931609.511553559,1.22,0.36377,0.50411,24.672,"MI-MSH",-85.07426,43.90027
"18-6",12009,149759306,"FT_NET",12,20,2019,133,4.63414634146341,480893.780097932,20.12,0.28263,0.11258,24,"MI-MSH",-84.80176,43.87249
"18-6",12009,149759306,"GILL",4,1,2019,133,4.63414634146341,480893.780097932,20.12,0.28263,0.11258,24,"MI-MSH",-84.80176,43.87249
"18-6",12009,149759306,"SEINE",4,1,2019,133,4.63414634146341,480893.780097932,20.12,0.28263,0.11258,24,"MI-MSH",-84.80176,43.87249
"18-6",12009,149759306,"SHOCK",30,115,2019,135,4.63414634146341,480893.780097932,20.12,0.28263,0.11258,24,"MI-MSH",-84.80176,43.87249
"18-66",8394,150436656,"FT_NET",15,80,2010,152,3.35365853658537,1683068.50147708,7.62,0.43108,0.10889,25.761,"MI-MSH",-85.07343,43.83999
"18-66",8394,150436656,"GILL",2,15,2010,152,3.35365853658537,1683068.50147708,7.62,0.43108,0.10889,25.761,"MI-MSH",-85.07343,43.83999
