"new_key","gear","effort_sum","largemouthbass_sum","julian","lake_area_m2","max_depth_m","ws_forest_prop","ws_wetland_prop","dd_year","surface_temp_year","MGMT_UNIT","secchi_combo"
"2-204","gill",2,0,192,47181.1174780462,9.76,0.71272,0.15911,3851.219641,16.0467,"Northern Lake Michigan",NA
"2-228","gill",6,5,218,58008.602565659,15.24,0.56583,0.12078,4559.636681,16.87016,"Eastern Lake Superior",NA
"2-42","gill",2,0,212,63130.4630731253,6.096,0.96413,0.00292,3831.271253,16.14972,"Northern Lake Michigan",NA
"2-627","gill",1,0,242,511429.381651896,9.753,0.70848,0.05866,3982.240117,15.69603435,"Eastern Lake Superior",4.177
"2-627","seine",3,0,242,511429.381651896,9.753,0.70848,0.05866,3982.240117,15.69603435,"Eastern Lake Superior",4.177
"20-44","gill",27,1,207,7781457.39144511,19.82,0.53257,0.14129,4581.022907,16.20601,"Central Lake Michigan",4.088
"20-75","gill",4,0,215,60537.9492129011,7.32,0.30072,0.20581,4290.678494,16.92922,"Central Lake Michigan",NA
"20-75","seine",7,49,215,60537.9492129011,7.32,0.30072,0.20581,4290.678494,16.92922,"Central Lake Michigan",NA
"25-35","seine",8,7,250,3557457.20084173,28.05,0.13077,0.15308,5735.890577,16.88361,"Southern Lake Huron",6.098
"27-1016","gill",4,4,200,107191.218809437,13.11,0.4477,0.1977,3656.214903,15.63454,"Western Lake Superior",NA
"27-104","gill",6,0,176,371059.242644976,14.02,0.81297,0.15595,3573.114903,15.19811,"Western Lake Superior",NA
"27-111","gill",5,1,171,314842.052122537,12.8,0.61182,0.26034,3790.430019,15.66119,"Western Lake Superior",2.6
"27-16","gill",2,0,229,445439.507506778,12.2,0.84225,0.03309,3440.978058,14.87548,"Western Lake Superior",1.5
"27-27","gill",5,0,181,209040.255230464,13.72,0.69935,0.18435,3540.690878,15.73509,"Western Lake Superior",NA
"27-30","gill",1,0,198,365692.073813282,24.383,0.82067,0.02825,4092.192839,15.54452,"Western Lake Superior",5.6
"27-30","seine",2,0,198,365692.073813282,24.383,0.82067,0.02825,4092.192839,15.54452,"Western Lake Superior",5.6
"27-346","gill",4,0,207,584302.071951762,10.67,0.54501,0.35852,3310.789292,15.25121668,"Western Lake Superior",4.4
"27-364","gill",5,3,176,100557.365464773,6.71,0.84847,0.12575,3567.355621,16.03627,"Western Lake Superior",NA
"27-443","gill",6,0,183,145032.159564566,4.88,0.62757,0.32468,3491.249487,15.96767,"Western Lake Superior",NA
"27-495","gill",1,0,187,1203816.04305775,12.191,0.70535,0.08025,3760.07427,15.10512,"Western Lake Superior",4.7
"27-611","gill",4,0,182,85514.6659787139,12.191,0.84548,0.1044,3500.520869,15.78713,"Western Lake Superior",NA
"27-611","FT_net",1,0,182,85514.6659787139,12.191,0.84548,0.1044,3500.520869,15.78713,"Western Lake Superior",NA
"27-622","seine",8,0,250,1296699.41685889,26.22,0.50751,0.22304,3486.228991,14.3669,"Western Lake Superior",5.623
"27-7","gill",2,0,179,242203.68544373,9.76,0.87813,0.08082,3779.544642,15.72907,"Northern Lake Michigan",NA
"27-766","gill",4,9,194,63878.4094128121,5.181,0.60621,0.3548,3472.671543,15.72185,"Western Lake Superior",NA
"27-827","gill",3,0,190,34700.4118773016,8.23,0.45006,0.38781,3626.115852,16.27773,"Western Lake Superior",NA
"27-833","gill",4,0,197,102344.515802679,10.06,0.63378,0.31335,3420.492691,16.09593,"Western Lake Superior",NA
"27-872","gill",4,5,197,112139.748978188,17.373,0.18091,0.63795,3330.651064,15.28787,"Western Lake Superior",NA
"27-882","gill",4,4,195,194897.332321638,11.59,0.68401,0.24261,3713.021286,15.60128,"Western Lake Superior",NA
"27-888","gill",5,6,188,189560.456922019,9.76,0.66382,0.24819,3679.128539,15.93922,"Western Lake Superior",1.8
"27-892","gill",4,0,218,47856.8608716766,9.45,0.37893,0.55576,3449.716553,15.70217,"Western Lake Superior",NA
"27-909","gill",4,0,194,53794.2441422848,9.45,0.81614,0.14182,3725.91819,16.13225,"Western Lake Superior",NA
"27-916","gill",4,0,220,30937.6241876088,4.88,0.78908,0.13373,3751.273835,16.46953,"Western Lake Superior",NA
"27-965","gill",6,25,191,315147.380114119,7.93,0.49465,0.44041,3674.861713,16.02049,"Western Lake Superior",NA
"28-132","gill",9,3,235,128370.982801182,12.2,0.28581,0.08521,4361.265686,16.44588,"Central Lake Michigan",3.95
"3-184","gill",3,0,205,109331.747116669,4.877,0.81014,0.10772,4985.525594,17.28319,"Southern Lake Michigan",NA
"31-1061","gill",2,0,275,76325.2088543564,8.229,0.8614,0.09068,4264.939072,16.50438487,"Western Lake Superior",NA
"31-140","gill",5,0,234,77249.6996883979,3.3525,0.55397,0.40272,3295.971552,15.61292,"Western Lake Superior",NA
"31-41","gill",1,0,221,67117.3035894946,6.71,0.89929,0.02317,3675.286753,16.1670507,"Western Lake Superior",NA
"31-41","seine",4,0,221,67117.3035894946,6.71,0.89929,0.02317,3675.286753,16.1670507,"Western Lake Superior",NA
"31-7","gill",6,0,231,163252.294767512,6.1,0.4978,0.38972,3476.607423,16.03484,"Western Lake Superior",NA
"31-767","gill",25,0,194,408163.886528267,6.1,0.71795,0.21539,3978.54665,16.39318672,"Western Lake Superior",2
"31-973","gill",22,0,205,239710.876006637,26.22,0.87081,0.05111,4082.790851,15.67384405,"Western Lake Superior",5.5
"34-73","gill",1,0,209,1441640.06960463,17.38,0.32615,0.29268,5972.561875,17.84686,"Southern Lake Michigan",2.134
"35-219","gill",7,0,231,5720292.12901137,10.058,0.28996,0.0394,4040.111489,14.86092,"Northern Lake Huron",3.049
"35-219","seine",40,10,231,5720292.12901137,10.058,0.28996,0.0394,4040.111489,14.86092,"Northern Lake Huron",3.049
"36-174","gill",3,7,243,396644.212496459,17.07,0.80889,0.0637,4038.695304,15.64866,"Northern Lake Michigan",6.098
"36-190","gill",1,0,214,2282152.45558658,16.16,0.70244,0.12364,3974.033176,15.49597,"Northern Lake Michigan",6.707
"36-2047","gill",3,0,242,148711.602282384,5.49,0.57103,0.29823,3395.516382,15.81189,"Northern Lake Michigan",NA
"36-2047","seine",2,5,242,148711.602282384,5.49,0.57103,0.29823,3395.516382,15.81189,"Northern Lake Michigan",NA
"36-407","seine",8,0,237,528202.96345757,15.85,0.88738,0.05218,3700.960384,15.56787,"Northern Lake Michigan",5.42
"36-553","gill",9,8,237,566027.930476306,22.26,0.77451,0.11978,3142.451647,14.06928,"Northern Lake Michigan",7
"36-777","gill",6,1,234,1100452.30909312,31.1,0.82932,0.03364,3613.335434,14.46745,"Northern Lake Michigan",6.4
"36-777","seine",22,29,234,1100452.30909312,31.1,0.82932,0.03364,3613.335434,14.46745,"Northern Lake Michigan",6.4
"37-139","gill",6,0,233,646993.883290842,21.34,0.55169,0.15337,4360.389237,15.69425,"Southern Lake Huron",5.183
"37-139","seine",4,2,233,646993.883290842,21.34,0.55169,0.15337,4360.389237,15.69425,"Southern Lake Huron",5.183
"39-164","gill",6,1,220,21549.3380356926,4.57,0.71083,0.1653,5488.731026,18.0991,"Southern Lake Michigan",NA
"39-244","gill",7,7,181,2029380.87410465,17.38,0.13843,0.16131,6622.574277,18.37031,"Southern Lake Michigan",2.4
"39-270","gill",2,0,195,884928.753996196,15.55,0.20354,0.07007,6205.518911,17.30841,"Southern Lake Michigan",4.268
"4-15","gill",5,1,215,5090756.44045162,9.753,0.19128,0.67847,3670.417025,14.70494,"Northern Lake Huron",3.35
"41-176","gill",12,5,202,1264512.53935494,21.95,0.21406,0.09722,5686.996481,16.67616,"Southern Lake Michigan",2.43
"41-176","seine",13,37,202,1264512.53935494,21.95,0.21406,0.09722,5686.996481,16.67616,"Southern Lake Michigan",2.43
"42-33","gill",1,0,247,4877276.00663672,11.59,0.39162,0.51238,4431.611124,15.95421765,"Western Lake Superior",3
"42-36","gill",1,0,202,5880579.44235361,22.56,0.77732,0.14406,4087.43286,14.94367571,"Western Lake Superior",5.42
"43-59","gill",4,2,217,209360.833191696,8.54,0.75258,0.02236,5063.980104,17.6811,"Central Lake Michigan",NA
"45-64","gill",2,0,200,34834780.0210433,36.879,0.31993,0.12269,5058.019971,16.18243,"Central Lake Michigan",4.368
"46-130","gill",3,1,243,891934.0354498,14.02,0.40345,0.18777,5477.984846,17.22817,"Lake Erie",4.441
"46-130","seine",5,11,243,891934.0354498,14.02,0.40345,0.18777,5477.984846,17.22817,"Lake Erie",4.441
"46-163","gill",14,16,205,2052966.18469508,20.43,0.11661,0.45423,5253.070746,16.89213,"Lake Erie",4.268
"46-163","seine",18,38,205,2052966.18469508,20.43,0.11661,0.45423,5253.070746,16.89213,"Lake Erie",4.268
"48-222","gill",21,0,233,318380.444943547,23.48,0.73589,0.00841,3725.986519,15.25615,"Eastern Lake Superior",8.841
"48-573","gill",3,0,234,376731.388369552,15.85,0.4881,0.05578,3485.0318,15.03369128,"Eastern Lake Superior",5.732
"48-573","seine",47,1,234,376731.388369552,15.85,0.4881,0.05578,3485.0318,15.03369128,"Eastern Lake Superior",5.732
"48-639","gill",4,0,251,195367.121484359,21.04,0.84397,0.13054,3967.91277,15.77159309,"Eastern Lake Superior",NA
"48-639","seine",2,0,251,195367.121484359,21.04,0.84397,0.13054,3967.91277,15.77159309,"Eastern Lake Superior",NA
"48-641","gill",3,1,184,62747.6826514508,4.267,0.55705,0.33527,3947.086014,16.35086454,"Eastern Lake Superior",NA
"5-110","gill",9,4,189,429007.36109425,12.8,0.3837,0.0189,4642.054061,16.50321,"Central Lake Michigan",3.569
"5-110","seine",11,67,189,429007.36109425,12.8,0.3837,0.0189,4642.054061,16.50321,"Central Lake Michigan",3.569
"5-50","gill",38,2,206,7238104.2329327,28.05,0.44526,0.12542,4440.247526,15.02779,"Central Lake Michigan",3.591
"5-55","gill",20,5,209,1769887.45457489,2.74,0.37433,0.14834,4020.06274,15.23071,"Central Lake Michigan",4.99
"5-75","gill",35,0,181,6355993.45635547,7.01,0.56052,0.09289,4872.075359,16.73608,"Central Lake Michigan",3.049
"5-93","gill",12,1,196,361377.518433086,14.33,0.64823,0.09249,4769.300871,16.85394,"Central Lake Michigan",3.438
"5-93","seine",3,35,196,361377.518433086,14.33,0.64823,0.09249,4769.300871,16.85394,"Central Lake Michigan",3.438
"5-94","gill",8,0,182,513590.990247258,14.33,0.54718,0.12835,4579.093981,16.38302,"Central Lake Michigan",3.842
"5-94","seine",5,6,182,513590.990247258,14.33,0.54718,0.12835,4579.093981,16.38302,"Central Lake Michigan",3.842
"52-1588","gill",1,0,249,155023.905952815,15.24,0.6222,0.2957,3828.174766,15.48705828,"Northern Lake Michigan",NA
"52-1623","gill",4,0,237,123580.645704342,12.191,0.7272,0.12877,4622.410928,16.66803182,"Western Lake Superior",NA
"52-1739","gill",10,0,222,203959.560560074,10.667,0.81689,0.05849,4173.536239,16.06780475,"Western Lake Superior",NA
"52-182","gill",27,1,177,1860477.20043705,15.24,0.53126,0.06875,3680.508075,15.43742,"Northern Lake Michigan",4.268
"52-182","seine",4,0,177,1860477.20043705,15.24,0.53126,0.06875,3680.508075,15.43742,"Northern Lake Michigan",4.268
"52-243","gill",3,0,225,27701.7550200316,8.84,0.73897,0.00119,3698.396112,16.06499,"Northern Lake Michigan",NA
"52-255","gill",6,0,172,316903.288009389,13.72,0.56529,0.10588,4160.389984,15.8604,"Northern Lake Michigan",3.659
"52-255","seine",4,0,172,316903.288009389,13.72,0.56529,0.10588,4160.389984,15.8604,"Northern Lake Michigan",3.659
"52-308","gill",1,0,200,230228.349237182,12.5,0.81673,0.07601,4012.32014,16.31155,"Northern Lake Michigan",NA
"52-581","gill",4,0,227,140146.355064546,13.106,0.75491,0.17114,3194.888116,14.70781,"Northern Lake Michigan",NA
"52-636","gill",3,0,216,27740.8352191332,9.76,0.5397,0.20411,3041.18186,15.44367,"Northern Lake Michigan",NA
"53-69","gill",16,1,221,421664.521063494,16.46,0.64098,0.03183,5075.961389,16.41918,"Central Lake Michigan",NA
"54-15","gill",16,2,200,65336.8107320626,7.62,0.31109,0.30622,4783.526305,17.25205,"Central Lake Michigan",NA
"54-15","seine",24,27,200,65336.8107320626,7.62,0.31109,0.30622,4783.526305,17.25205,"Central Lake Michigan",NA
"54-232","gill",8,6,210,3175934.60928332,12.5,0.46679,0.21183,4967.971495,17.01657,"Southern Lake Huron",3.659
"54-232","seine",1,2,210,3175934.60928332,12.5,0.46679,0.21183,4967.971495,17.01657,"Southern Lake Huron",3.659
"54-281","gill",7,1,228,935314.31346364,7.62,0.69692,0.22761,4664.325348,16.15266,"Central Lake Michigan",NA
"54-281","seine",26,10,228,935314.31346364,7.62,0.69692,0.22761,4664.325348,16.15266,"Central Lake Michigan",NA
"54-51","gill",4,1,235,1912702.37991178,13.72,0.36276,0.15001,5225.677066,17.35571,"Central Lake Michigan",2.942
"54-51","seine",20,11,235,1912702.37991178,13.72,0.36276,0.15001,5225.677066,17.35571,"Central Lake Michigan",2.942
"59-177","gill",6,0,236,222622.560155396,16.77,0.12367,0.1774,4919.746775,16.57282,"Southern Lake Michigan",4.1
"59-177","seine",7,6,236,222622.560155396,16.77,0.12367,0.1774,4919.746775,16.57282,"Southern Lake Michigan",4.1
"59-189","gill",12,0,240,459473.744486261,29.27,0.07328,0.10105,5031.510595,16.49576,"Southern Lake Michigan",4.682
"59-189","seine",9,4,240,459473.744486261,29.27,0.07328,0.10105,5031.510595,16.49576,"Southern Lake Michigan",4.682
"59-335","seine",20,20,211,479735.831006434,17.38,0.12595,0.12154,5553.925454,17.27666,"Central Lake Michigan",1.55
"59-347","gill",15,9,218,449403.630367043,14.02,0.07307,0.02828,5517.747144,17.25645,"Southern Lake Michigan",1.95
"59-347","seine",13,53,218,449403.630367043,14.02,0.07307,0.02828,5517.747144,17.25645,"Southern Lake Michigan",1.95
"59-377","gill",14,5,194,2031624.10262636,16.46,0.53466,0.05805,5306.969748,16.73656,"Central Lake Michigan",4.65
"59-377","seine",12,30,194,2031624.10262636,16.46,0.53466,0.05805,5306.969748,16.73656,"Central Lake Michigan",4.65
"60-122","gill",12,6,226,491039.215733884,14.02,0.58392,0.28498,4519.723215,16.24833,"Northern Lake Huron",NA
"60-122","seine",12,6,226,491039.215733884,14.02,0.58392,0.28498,4519.723215,16.24833,"Northern Lake Huron",NA
"60-134","gill",5,4,245,122110.849338351,8.54,0.74115,0.01473,4298.709842,16.92291,"Northern Lake Huron",NA
"60-134","seine",11,10,245,122110.849338351,8.54,0.74115,0.01473,4298.709842,16.92291,"Northern Lake Huron",NA
"60-70","gill",3,0,163,61177.1023835539,3.05,0.72521,0.04428,4128.446897,17.26026,"Northern Lake Huron",NA
"61-66","gill",35,42,168,18694461.6891263,20.43,0.12597,0.03444,4850.177722,15.99357,"Central Lake Michigan",0.915
"61-7","gill",24,5,222,2108044.54979564,12.8,0.0243,0.0099,5318.872461,17.16566,"Southern Lake Michigan",1.237
"61-7","seine",55,66,222,2108044.54979564,12.8,0.0243,0.0099,5318.872461,17.16566,"Southern Lake Michigan",1.237
"62-128","gill",16,1,192,3337479.7009429,26.83,0.1161,0.1203,5139.832843,16.1033,"Central Lake Michigan",2.439
"62-128","seine",20,47,192,3337479.7009429,26.83,0.1161,0.1203,5139.832843,16.1033,"Central Lake Michigan",2.439
"62-75","gill",24,16,198,800343.35518595,28.35,0.43609,0.04659,5350.085782,16.74703,"Southern Lake Michigan",3.177
"62-75","seine",12,11,198,800343.35518595,28.35,0.43609,0.04659,5350.085782,16.74703,"Southern Lake Michigan",3.177
"62-81","gill",14,12,186,410482.686253086,19.21,0.90284,0.00916,5140.491947,16.69475,"Central Lake Michigan",4.137
"62-81","seine",20,17,186,410482.686253086,19.21,0.90284,0.00916,5140.491947,16.69475,"Central Lake Michigan",4.137
"62-82","gill",16,12,182,308448.758407187,14.94,0.81777,0.00757,5118.981061,16.90628,"Central Lake Michigan",3.743
"62-82","seine",22,44,182,308448.758407187,14.94,0.81777,0.00757,5118.981061,16.90628,"Central Lake Michigan",3.743
"62-84","gill",17,6,258,1240418.48002914,22.56,0.68092,0.09455,4884.661871,16.08506,"Central Lake Michigan",3.617
"63-575","gill",12,5,239,2327751.22496054,9.76,0.21969,0.04115,5372.452103,17.54639,"Lake Erie",4.921
"63-575","seine",14,11,239,2327751.22496054,9.76,0.21969,0.04115,5372.452103,17.54639,"Lake Erie",4.921
"63-915","gill",4,0,258,352369.232082878,15.85,0.04872,0.09359,5297.825894,17.45891,"Lake Erie",NA
"64-61","gill",18,9,234,762991.806078265,12.8,0.5667,0.28305,4901.817555,16.93715,"Central Lake Michigan",NA
"64-61","seine",30,13,234,762991.806078265,12.8,0.5667,0.28305,4901.817555,16.93715,"Central Lake Michigan",NA
"65-123","gill",6,2,182,350099.321961879,16.46,0.40458,0.30779,4538.864692,16.15574,"Southern Lake Huron",3.963
"65-123","seine",30,1,182,350099.321961879,16.46,0.40458,0.30779,4538.864692,16.15574,"Southern Lake Huron",3.963
"65-143","seine",17,5,256,696656.330379183,14.63,0.16546,0.22949,4341.016063,16.22454,"Southern Lake Huron",NA
"65-61","gill",3,1,231,85774.7098862855,16.306,0.04343,0.14319,4754.595354,16.7863,"Southern Lake Huron",NA
"65-63","gill",2,0,181,375791.553316337,7.62,0.47638,0.33817,4785.805023,17.17527,"Southern Lake Huron",2.652
"66-222","gill",12,15,167,282768.705718101,14.02,0.73111,0.05105,3648.52611,15.2884,"Western Lake Superior",4.9
"66-293","gill",1,0,224,143799.188863259,16.001,0.86963,0.0809,4057.090539,15.88903,"Western Lake Superior",3.049
"67-242","gill",5,0,242,1508167.14094937,9.76,0.57924,0.04911,4608.087647,16.5356,"Central Lake Michigan",2.378
"68-22","gill",2,1,223,77110.1546274938,13.106,0.76792,0.16009,4189.677904,16.18851,"Northern Lake Huron",NA
"68-22","seine",20,30,223,77110.1546274938,13.106,0.76792,0.16009,4189.677904,16.18851,"Northern Lake Huron",NA
"7-160","gill",1,0,172,804872.205900206,11.28,0.47169,0.34218,3519.620994,15.41783909,"Northern Lake Michigan",1.5
"7-381","gill",4,0,228,95047.556230019,6.4,0.68657,0.21596,3636.7424,15.78782011,"Northern Lake Michigan",NA
"7-388","gill",4,0,229,260785.689976124,11.582,0.66163,0.29201,3673.370618,15.3077639,"Northern Lake Michigan",NA
"7-597","gill",2,0,205,196723.738739832,15.55,0.73037,0.17125,3477.828012,15.55363293,"Northern Lake Michigan",NA
"8-386","gill",6,13,181,2254552.81008458,11.28,0.24416,0.24715,5628.361472,17.5915,"Southern Lake Michigan",NA
"8-413","gill",30,26,170,11183861.6931731,20.73,0.2271,0.14452,5581.435753,17.46779,"Southern Lake Michigan",3.049
"8-413","seine",44,94,170,11183861.6931731,20.73,0.2271,0.14452,5581.435753,17.46779,"Southern Lake Michigan",3.049
"8-425","seine",15,4,242,77780.7554530371,13.411,0.54048,0.09739,6369.14862,18.27647,"Southern Lake Michigan",NA
"8-592","gill",12,4,252,169856.06665048,14.63,0.49015,0.06276,6003.141247,17.69591,"Southern Lake Michigan",NA
"8-592","seine",3,3,252,169856.06665048,14.63,0.49015,0.06276,6003.141247,17.69591,"Southern Lake Michigan",NA
"8-619","gill",20,5,227,137879.810084578,11.89,0.70041,0.14336,5302.155701,17.2251,"Southern Lake Michigan",4.436
"8-619","seine",6,1,227,137879.810084578,11.89,0.70041,0.14336,5302.155701,17.2251,"Southern Lake Michigan",4.436
"8-634","gill",18,3,210,1690507.66015135,17.38,0.05817,0.08838,5350.292877,16.53023,"Southern Lake Michigan",1.809
"8-634","seine",5,29,210,1690507.66015135,17.38,0.05817,0.08838,5350.292877,16.53023,"Southern Lake Michigan",1.809
"83-178","gill",4,0,186,344136.874428392,14.63,0.72213,0.02541,4183.529605,15.94688,"Central Lake Michigan",NA
"83-178","seine",32,5,186,344136.874428392,14.63,0.72213,0.02541,4183.529605,15.94688,"Central Lake Michigan",NA
