"IHDID","WL_KM2","WL_CARL1","WL_CARL2","WL_CARL3","WL_CARL4","WL_CARL6","WL_CARL7","WL_CARL8","WL_CARL9","WL_CARLND","WL_NLCD11","WL_NLCD21","WL_NLCD22","WL_NLCD23","WL_NLCD24","WL_NLCD31","WL_NLCD41","WL_NLCD42","WL_NLCD43","WL_NLCD52","WL_NLCD71","WL_NLCD81","WL_NLCD82","WL_NLCD90","WL_NLCD95","WL_NLCDND","WL_QGEO1","WL_QGEO2","WL_QGEO3","WL_QGEO4","WL_QGEO5","WL_QGEO6","WL_QGEO7","WL_QGEO8","WL_QGEO9","WL_QGEO10","WL_QGEO12","WL_QGEO15","WL_QGEO18","WL_QGEO21","WL_QGEO29","WL_QGEO99","WL_QGEOND","WL_SLOPE","WL_ELEVMEAN","WL_ELEVMIN","WL_ELEVMAX"
3934,0.3621,0,1,0,0,0,0,0,0,0,0.03645,0.02182,0,0,0,0,0.53024,0,0.08257,0,0,0,0,0.32891,0,1e-05,0,0,0,0,0.14305,0,0,0.85695,0,0,0,0,0,0,0,0,0,1.68,380.995,377.01,391.81
3958,0.493,0,0,0,0,0,0,0,0,1,0.03813,0.01907,0.00791,0,0,0,0.64158,0,0.13469,0,0,0,0,0.15862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.15,561.361016,551.08,580.33
4032,1.6848,0,0,0,0,0,0,0,0,1,0.12832,0.01858,3e-04,0,0,0,0.43584,0.00659,0.07437,0,0,0,0,0.336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.13,561.301016,551.04,581.2
5000,0.13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.87615,0,0.02538,0,0.02,0,0,0.07846,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.01,557.518008,552.33,562.24
5105,0.334,0,0,0,0,0,1,0,0,0,0.0021,0.03413,0.01018,0,0,0,0.1491,0.33862,0.06647,0.12904,0.22126,0,0,0.0491,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59,390.326016,385.51,399.64
5180,1.0225,0,0,0,0,0,0,0,0,1,0.00528,0.00313,0,0,0,0,0.85917,0,0.01897,0,0.04156,0,0,0.07188,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.9,546.083984,520.92,565.86
5215,0.1211,0,0,0,0,0,0,0,0,1,0,0.11808,0,0,0,0,0.60528,0.03881,0.18993,0,0,0,0,0.04789,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.49,556.003984,542.76,571.66
5447,1.194,0,0,0,0,0,0,0,0,1,0.02228,0.017,0,0,0,0,0.43074,0.02931,0.24196,0,0.00628,0,0,0.2495,0.00293,0,0,0,0,0,0,0,0,0,0,0,0,0.00201,0,0,0,0.99799,0,4.89,547.985,534.07,571.31
5562,1.3166,0,0,0,0,0,0,0,0,1,0.02263,0,0,0,0,0,0.48048,0.03585,0.19414,8e-05,0.00752,0,0,0.2593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.04,541.768984,526.57,556.16
5799,1.5743,0.54977,0,0,0,0,0,0,0,0.45023,0.05463,0,0,0,0,0,0.73531,0.03011,0.13358,0,0,0,0,0.04637,0,0,0,0,0,0,0,0.38633,0,0.61176,0.00191,0,0,0,0,0,0,0,0,3.92,322.433008,298.99,362.66
6573,1.0662,0,0,0,0,0,0.45151,0,0,0.54849,0,0,0.02579,0,0,0,0.31223,0.05337,0.1904,0,0.02101,0,0,0.38436,0.01285,-1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.7,507.908984,494,536.51
6661,0.0065,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.32308,0.03077,0.07692,0,0,0,0,0.56923,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.45,344.606016,343.55,345.03
6959,0.0189,0,0,0,0,0,0,0,0,1,0.15873,0,0,0,0,0,0.46561,0,0.14815,0,0,0,0,0.14815,0.07937,-1e-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.58,416.716016,415.68,418.28
6962,0.4243,0,0,0,0,0,0,0,0,1,0.00259,0.03818,0,0,0,0,0.36955,0.00118,0.34386,0,0.03135,0,0.12562,0.07565,0.01202,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.62,419.188984,415.68,421.12
7036,4.8134,0,0,0,0,0,0,0,0,1,0.00077,0,0,0,0,0,0.99343,0,0.00345,0,0,0,0,0.00172,0.00062,1e-05,0,0,0,0,0.97447,0,0,0,0,0,0,0.02553,0,0,0,0,0,1.27,308.365996,284.74,329.77
7095,0.7459,0,0,0,0,0,0,0,0,1,0.03325,0,0,0,0,0,0.92854,0,0,0,0,0,0,0.03821,0,0,0,0,0,0,0.94771,0,0,0,0,0,0,0.05229,0,0,0,0,0,3.02,302.188008,284.69,311.05
7200,0.1463,0,0,0,0,0,0,0,0,1,0.00205,0,0,0,0,0,0.9583,0,0.00752,0,0,0,0,0.03213,0,0,0,0,0,0,0.87491,0,0,0,0,0,0,0.12509,0,0,0,0,0,2.99,298.746992,285.03,303.04
7245,0.3448,0,0,0,0,0,0,0,0,1,0.05133,0.01305,0,0,0,0,0.78596,0.03364,0.02175,0,0,0,0,0.09426,0,1e-05,0,0,0,0,0.75348,0,0,0,0,0,0,0.24652,0,0,0,0,0,4.45,293.524004,284.37,303.09
7250,0.2558,0,0,0,0,0,0,0,0,1,0.02854,0,0,0,0,0,0.8061,0.00469,0.02815,0,0,0,0,0.13253,0,-1e-05,0,0,0,0,0.81392,0,0,0,0,0,0,0.18608,0,0,0,0,0,3.7,295.963008,285,301.12
7449,1.8689,0,0,0,0,0,0,0,0,1,0.00177,0.00385,0,0,0,0,0.78485,0.01953,0.01589,0,0,0,0,0.16058,0.01354,-1e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.88,290.643008,280.73,299.62
7472,1.612,0,0,0,0,0,0,0,0,1,0.01991,0.00143,0,0,0,0,0.59479,0.02699,0.04169,0,0.01172,0,0,0.27103,0.03244,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.78,292.769004,279.87,342.06
7495,0.1111,0,0,0.07471,0,0,0,0,0,0.92529,0.13501,0.12781,0,0,0,0,0.64176,0,0,0,0,0,0,0.05491,0.0405,1e-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.7,471.673984,445.59,519.18
7526,3.7526,0,0,0,0,0,0,0,0,1,0.03264,0.00261,0,0,0,0,0.85935,0.00666,0.0025,0.00096,0.00664,0,0,0.07954,0.00909,1e-05,0,0,0,0,0.91494,0,0,0,0,0,0,0.08506,0,0,0,0,0,4.85,298.745,280.98,335.78
7642,0.1613,0,0,0,0,0,0,0,0,1,0.06572,0,0,0,0,0,0.87167,0,0,0.00186,0,0,0,0.04464,0.01612,-1e-05,0,0,0,0,0.47675,0,0,0,0,0,0,0.52325,0,0,0,0,0,5.68,293.708008,283.95,319.98
7757,0.035,0,0,0,0,0,0,0,0,1,0.38,0,0,0,0,0,0.05429,0,0,0.25714,0,0,0,0.30857,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.14,286.35,282.36,290.03
7844,0.4783,0,0.9977,0,0,0,0,0,0,0.0023,0.03387,0,0,0,0,0,0.76228,0.00815,0.01484,0,0,0,0,0.17583,0.00502,1e-05,0.66172,0,0,0.33828,0,0,0,0,0,0,0,0,0,0,0,0,0,7.08,293.34,278.41,321.12
7860,0.8584,0,0,0,0,0,0,0,0,1,0.03332,0,0,0,0,0,0.71051,0.04287,0.02808,0.00734,0,0,0,0.16577,0.01212,-1e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.19,296.773008,287.15,321.17
7864,1.4768,0,0,0,0,0,0,0,0,1,0.01476,0.00603,0,0,0,0,0.6636,0.03176,0.03426,0,0,0,0,0.22156,0.02803,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.47,296.874004,282.35,321.2
7956,2.6275,0,0,0,0,0,0,0,0,1,0.01225,0.00206,0,0,0,0,0.82577,0.00662,0.00236,0.05458,0.01522,0,0,0.07836,0.00278,0,0.24708,0,0,0,0.75224,0,0,0,0,0,0,0.00069,0,0,0,0,-1e-05,2.67,289.446992,278.05,329.78
7970,2.3378,0,0,0,0,0,0,0,0,1,0.00295,0.005,0,0,0,0,0.91329,0.00761,0.00654,0.00077,0,0,0,0.04846,0.01536,2e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.84,304.065,284.03,333.83
8489,2.1952,0,0,0,0,0,0,0,0,1,0.00952,0,0,0,0,0,0.98683,0,0,0,0,0,0,0.00205,0.00159,1e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.15,317.118008,274.72,363.83
8644,1.6541,0,0,0,0,0,0,0,0,1,0.06832,0.07781,0.01511,0.00472,0,0,0.57046,0.02291,0.15888,0,0.00326,0,0,0.07853,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08264,0,0,0,0.91736,0,9.27,469.593008,429.33,528.77
8659,0.178,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.03933,0.08708,0.06461,0,0,0,0,0.74607,0.06292,-1e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.84,519.601016,517.85,526.48
8688,0.5399,0,0,0,0,0,0,0,0,1,0.07798,0.08909,0.13336,0.02482,0,0.03427,0.37525,0.00852,0.13521,0.01667,0,0,0,0.09798,0.00685,0,0,0,0,0,0,0,0,0,0,0,0,0.09743,0,0,0,0.90257,0,11.18,455.891016,429.71,520.04
8722,0.0999,0,0,0,0,0,0,0,0,1,0.27127,0.001,0.01301,0,0,0,0.2953,0,0.15816,0,0,0,0,0.26126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16.51,451.871016,428.56,506.07
8785,0.4591,0,0,0,0,0,0,0,0,1,0.03921,0.0403,0.00501,0,0,0,0.68678,0,0.0978,0.0257,0.00958,0,0,0.09562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10.52,463.365,441.35,519.77
8790,1.0708,0,1,0,0,0,0,0,0,0,0,0.02157,0,0,0,0,0.76251,0.00719,0.10562,0,0,0,0,0.09946,0.00364,1e-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.97,518.318984,503.16,537.97
9231,2.6789,0,0.69988,0,0,0,0,0,0,0.30012,0.00034,0.02844,3e-04,0,0,0.00347,0.07335,0.51219,0.11105,0.05331,0.11871,0,0,0.07589,0.02296,-1e-05,0.99194,0,0,0,0.00806,0,0,0,0,0,0,0,0,0,0,0,0,2.89,466.423008,452.34,491.55
9497,0.0501,0,0,0,0,0,0,0,0,1,0,0.12774,0,0,0,0,0.02196,0.00998,0.23752,0,0,0,0,0.60279,0,1e-05,0.81038,0,0,0,0,0,0,0.18962,0,0,0,0,0,0,0,0,0,2.3,503.698008,499.05,506.4
10024,1.4402,0,0.72691,0,0,0,0,0,0,0.27309,0.05916,0.03208,0,0,0,0,0.41828,0.127,0.15172,0,0.00062,0,0,0.21115,0,-1e-05,0,0,0,0,0.9148,0,0,0,0,0,0,0.0852,0,0,0,0,0,2.66,479.043984,474.08,501.81
10174,0.04,0,0.4575,0,0,0,0,0,0,0.5425,0.16,0,0,0,0,0,0.4625,0.025,0.135,0,0,0,0,0.2175,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.61,481.756992,474.81,497.58
10445,0.016,0,0,0,0,0,0,0,0,1,0,0,0,0.01875,0,0.85,0.04375,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.59,471.973984,469.61,475.63
10553,0.8508,0,0.69041,0,0,0,0,0,0,0.30959,0.00776,0.00447,0,0,0,0,0.53608,0.13552,0.05395,0,0,0,0,0.24542,0.01681,-1e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.1,483.261016,474,502.12
10711,0.1845,0,0.33767,0,0,0,0,0,0,0.66233,0.00759,0,0,0,0,0,0,0.12575,0.03089,0,0,0,0,0.23523,0.60054,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.49,480.211992,478.98,485.7
10862,1.3051,0,0.74217,0,0,0,0,0,0,0.25783,0.00329,0.02797,0,0,0,0,0.10911,0.35423,0.07134,0,0.00115,0,0,0.2517,0.18121,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.98,481.361016,479,491.49
10866,0.3664,0,0.7429,0,0,0,0,0,0,0.2571,0.00409,0.06414,0,0,0,0,0.07969,0.31141,0.27265,0,0,0,0,0.25928,0.00873,1e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.25,482.571016,478,500.52
10893,0.342,0,0.97456,0,0,0,0,0,0,0.02544,0.0152,0.06228,0,0,0,0,0.7652,0,0.0076,0,0,0,0,0.14971,0,1e-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.54,205.483008,186.03,248.1
11472,0.2007,1,0,0,0,0,0,0,0,0,0.01594,0,0,0,0,0,0.21624,0,0.06726,0,0,0,0,0.70055,0,1e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.65,509.261016,506.23,518.59
12514,0.152,0,1,0,0,0,0,0,0,0,0.05592,0,0,0,0,0,0.67697,0,0.00592,0,0,0,0,0.26118,0,1e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.09,521.88,516.17,539.99
12795,0.4045,0,0,0,0,0,0.53993,0,0,0.46007,0.04252,0.02917,0,0,0,0,0.35674,0.13622,0.15674,0,0.01829,0,0,0.26032,0,0,0,0,0,0,0.1152,0,0,0.47911,0,0,0,0,0.40569,0,0,0,0,3.02,456.493008,448.53,476.21
12806,0.0317,0,0,0,0,0,0,0,0,1,0,0.1388,0,0,0,0,0,0.21451,0.07571,0,0.28391,0,0,0.28707,0,0,0,0,0,0,0,0,0,0.85804,0,0,0,0,0.14196,0,0,0,0,1.87,466.051992,463.01,470.61
12941,0.064,0,0,0,1,0,0,0,0,0,0.11094,0,0,0,0,0,0.29844,0.12031,0.35,0,0,0,0,0.12031,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.84,522.336016,516.58,532.9
13101,0.8192,0,0,0,0,0,0,0,0,1,0.05408,0.06958,0,0,0,0,0.12976,0.09961,0.12451,0,0.02686,0,0,0.49561,0,-1e-05,0,0,0,0,0.4801,0,0,0.02832,0,0,0,0,0.49158,0,0,0,0,1.73,452.675,447.8,476.15
13329,0.0207,0,0,0,0,0,1,0,0,0,0.18357,0,0,0,0,0,0.28019,0.00966,0,0,0,0,0,0.25604,0.27053,1e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.11,445.821992,445.24,446.15
13581,0.0973,0,0,0,0,0,0.02261,0,0,0.97739,0.09044,0.00308,0,0,0,0,0.22508,0.15416,0.148,0.00822,0.00206,0,0,0.36896,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.77,454.941992,448.01,470.06
14354,0.2345,0,0,0,0,0,0,0,0,1,0.00043,0,0,0,0,0,0.00256,0,0,0,0,0,0,0.98678,0.01023,0,0,0,0,0,0.00597,0,0,0.99403,0,0,0,0,0,0,0,0,0,0.03,464.7,463.78,466.82
14525,0.1209,0,0,0,0,0,0.88751,0,0,0.11249,0.06038,0,0,0,0,0,0.22415,0.27378,0.23987,0,0.00083,0,0,0.15964,0.04136,-1e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.01,473.193008,466.32,483.44
14609,0.6007,0,0,0,0,0,0,0,0,1,0,0.02131,0.02197,0,0,0,0.26003,0.0253,0.15482,0.0015,0.0323,0,0,0.45996,0.02281,0,0,0,0,0,0.89229,0,0,0.10771,0,0,0,0,0,0,0,0,0,2.61,442.035,432.56,464.46
14975,0.8797,0,0,0,0,0,1,0,0,0,0.01387,0.05422,0,0,0,0,0.07605,0.11709,0.35376,0,0.00512,0,0,0.37138,0.00853,-2e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.53,466.466016,460.98,485.47
15122,2.1664,0,0,0,0,0,0.04459,0,0,0.95541,0.00351,0.03042,0,0,0,0,0.2193,0.30821,0.37675,0,0.00794,0.00494,0,0.04893,0,0,0.73421,0,0,0,0,0,0.26579,0,0,0,0,0,0,0,0,0,0,3.42,356.621992,339.22,397.95
15259,0.8929,0,0,0,0,0,0.78777,0,0,0.21223,0.0019,0,0,0,0,0,0.21917,0.20618,0.39389,0,0.00594,0,0,0.17292,0,0,0.80535,0,0,0,0,0,0.19465,0,0,0,0,0,0,0,0,0,0,2.95,355.803008,344.09,373.64
15379,0.1971,0,1,0,0,0,0,0,0,0,0.00863,0,0,0,0,0,0.11568,0.59716,0.19533,0.03653,0,0,0,0.04668,0,-1e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.42,528.24,519.56,540.45
15583,0.6844,0,0,0,0,0,0.99956,0,0,0.00044,0.03156,0,0,0,0,0,0.15634,0.39772,0.30903,0,0,0,0,0.10535,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14,345.78,336.25,366.67
16139,1.4345,0,0,0,0,0,0.19902,0,0,0.80098,0.02328,0.02238,0,0,0,0,0.48268,0.03039,0.11586,0.00565,0.00634,0,0,0.29265,0.02077,0,0,0,0,0,0.43994,0,0,0.56006,0,0,0,0,0,0,0,0,0,2.3,427.053008,418.59,445.79
16598,0.6567,0,0,0,0,0,0.99924,0,0,0.00076,0.00259,0.02452,0,0,0,0,0.12746,0.41937,0.11878,0,0.13385,0,0,0.16674,0.0067,-1e-05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.44,414.158008,409.58,420.9
16693,0.8161,0,0,0,0,0,0.55925,0,0,0.44075,0,0.01973,0,0,0,0,0.37128,0,0.24568,0,0.00919,0,0,0.35412,0,0,0,0,0,0,0.61341,0,0,0.38659,0,0,0,0,0,0,0,0,0,0.8,426.696016,420.8,433.62
16848,2.1334,0,0,0,0,0,1,0,0,0,0.00169,0.00731,0,0,0,0,0.1477,0.15998,0.14465,0,0.01017,0,0,0.52316,0.00534,0,0,0,0,0,0,0,0.39693,0,0,0,0,0,0.60307,0,0,0,0,1.77,353.925,348.88,376.04
17211,0.5292,0,0,0,0,0,0,0,0,1,0.04705,0.00151,0,0,0,0,0.70881,0,0.12453,0.00378,0.03231,0,0,0.072,0.01002,-1e-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.86,543.795,525.48,558.03
17242,1.1061,0,0,0,0,0,0.91384,0,0,0.08616,9e-05,0,0,0,0,0,0.72001,0.06889,0.06817,0,0.02513,0,0,0.11771,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.82,391.598008,369.16,403.53
17554,0.2202,0,0,0,0,0,0,0,0,1,0.04178,0,0,0,0,0,0.24478,0.08084,0.02725,0,0.005,0,0,0.60036,0,-1e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.42,220.35,218.78,224.06
17891,10.3503,0,0,0,0,0,0.91549,0,0,0.08451,0.00014,0,0,0,0,0,0.1241,0.01735,0.0342,0.00167,0.00386,0,0,0.78238,0.03628,2e-05,0,0,0,0.11163,0,0,0.23203,0,0,0,0,0,0.65634,0,0,0,0,0.59,325.641992,316.33,338.78
18460,1.0992,0.03493,0,0,0,0,0,0,0,0.96507,0.00282,0.06978,0,0,0,0,0.8438,0.00673,0.04349,0,0,0,0,0.03339,0,-1e-05,0.12636,0,0,0,0,0,0,0.87364,0,0,0,0,0,0,0,0,0,5.58,455.933008,434.67,475.4
18466,0.0603,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.24544,0.02488,0.54395,0,0,0,0,0.18574,0,-1e-05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.78,383.958984,379.36,390.31
18561,0.5486,0,0.98979,0,0,0,0,0,0,0.01021,0.01185,0.13179,0,0,0,0,0,0.3086,0,0,0.52917,0,0,0,0.01859,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,235.950996,226,240.13
18584,0.0977,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.03173,0,0,0,0,0,0.73593,0.23234,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,232.874004,232.45,233.52
18591,1.6943,0,0,0,0,0,0.6094,0,0,0.3906,0.00519,0.05743,0,0,0,0,0.33743,0.12129,0.21832,0.03264,0.06315,0,0,0.16455,0,0,0.98465,0,0,0,0,0,0,0,0,0,0,0.01535,0,0,0,0,0,1.29,415.183984,392.74,434.41
18706,2.1803,0,0.99739,0,0,0,0,0,0,0.00261,0.02371,0.07838,0.00367,0,0,0,0.20887,0.33871,0.03422,0,0.23529,0,0,0.04898,0.02816,1e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37,235.364004,226.01,240.78
18759,12.1233,0,0,0,0,0,0.77342,0,0,0.22658,0.00257,0.00532,0,0,0,0,0.459,0.03892,0.09985,0.0148,0.05668,0.01816,0.01409,0.28566,0.00497,-2e-05,5e-05,0,0,0,0,0,0.99995,0,0,0,0,0,0,0,0,0,0,1.42,320.439004,308.86,341.98
18781,1.5302,0,0,0,0,0,0,0,0,1,0.03594,0.03254,0.01216,0,0,0,0.34878,0.03568,0.01261,0.00176,0.2201,0.18592,0,0.11031,0.00418,2e-05,0.39818,0,0,0,0,0,0,0.56136,0,0.04045,0,0,0,0,0,0,1e-05,0.54,232.694004,230.97,241.31
19053,5.0927,0,0,0,0,0,0.82972,0,0,0.17028,0.00094,0.00216,0,0,0,0.00287,0.06468,0.35392,0.02419,0.00214,0.02378,0,0.00029,0.48842,0.0366,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.90098,0,0,0.09902,0,1.37,182.833008,178.59,208.74
19066,0.5806,0,0.79607,0,0,0,0,0,0,0.20393,0.05012,0.11109,0.0093,0,0,0,0.24819,0.23493,0.30847,0.00224,0.02015,0,0,0.0155,0,1e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,233.745996,230.01,236.01
19109,2.6695,0,0,0,0,0,0,0,0,1,0.00367,0.01667,0.00644,0,0,0,0.35827,0.026,0.08073,0.00382,0.01394,0.21903,0.00569,0.26372,0.00202,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.63,316.58,310.26,325.87
19156,6.1272,0,0,0,0,0,0.21498,0,0,0.78502,0.03248,0.03532,0,0,0,0,0.26002,0.16825,0.18031,0.08252,0.10351,0,0,0.13453,0.00307,-1e-05,0.90022,0,0,0,0,0,0,0,0,0,0,0.09978,0,0,0,0,0,2.18,403.618008,389,422.14
