"NEW_KEY","COUNTY","LONG_DD","LAT_DD","Water_Body_Name","Survey_Number","SURVEY_YEAR","Survey_Purpose","TARGET_SPECIES","GEAR","EFFORT_MEASURE","EFFORT","SAMPLE_START_DATE","SAMPLE_END_DATE"
"47-73","Livingston",-83.89454,42.50416,"Lime (Chenango) Lake",4030,2003,"Status & Trends","ALL SPECIES","SEINE","HAULS",2,"6/26/03","6/26/03"
"47-73","Livingston",-83.89454,42.50416,"Lime (Chenango) Lake",4030,2003,"Status & Trends","ALL SPECIES","SMFYKE","LIFTS",2,"5/20/03","5/20/03"
"47-73","Livingston",-83.89454,42.50416,"Lime (Chenango) Lake",4030,2003,"Status & Trends","ALL SPECIES","TRAPNET","LIFTS",2,"5/20/03","5/20/03"
"8-141","Barry",-85.41914,42.49012,"Upper Crooked Lake",4031,2003,"Status & Trends","ALL SPECIES","BOOMSHK","MINUT",30,"6/19/03","6/20/03"
"8-141","Barry",-85.41914,42.49012,"Upper Crooked Lake",4031,2003,"Status & Trends","ALL SPECIES","IGNET","LIFTS",6,"5/19/03","5/21/03"
"8-141","Barry",-85.41914,42.49012,"Upper Crooked Lake",4031,2003,"Status & Trends","ALL SPECIES","LMFYKE","LIFTS",8,"5/19/03","5/21/03"
"8-141","Barry",-85.41914,42.49012,"Upper Crooked Lake",4031,2003,"Status & Trends","ALL SPECIES","SEINE","HAULS",5,"5/20/03","5/20/03"
"8-141","Barry",-85.41914,42.49012,"Upper Crooked Lake",4031,2003,"Status & Trends","ALL SPECIES","TRAPNET","LIFTS",8,"5/19/03","5/21/03"
"8-202","Barry",-85.46785,42.46489,"Lower Crooked Lake",4032,2003,"Status & Trends","ALL SPECIES","BOOMSHK","MINUT",40,"5/21/03","5/22/03"
"8-202","Barry",-85.46785,42.46489,"Lower Crooked Lake",4032,2003,"Status & Trends","ALL SPECIES","IGNET","LIFTS",4,"5/19/03","5/20/03"
"8-202","Barry",-85.46785,42.46489,"Lower Crooked Lake",4032,2003,"Status & Trends","ALL SPECIES","LMFYKE","LIFTS",4,"5/19/03","5/20/03"
"8-202","Barry",-85.46785,42.46489,"Lower Crooked Lake",4032,2003,"Status & Trends","ALL SPECIES","SEINE","HAULS",2,"5/20/03","5/20/03"
"8-202","Barry",-85.46785,42.46489,"Lower Crooked Lake",4032,2003,"Status & Trends","ALL SPECIES","TRAPNET","LIFTS",4,"5/19/03","5/20/03"
"38-568","Jackson",-84.47259,42.08832,"Round Lake",4033,2003,"Status & Trends","ALL SPECIES","BOOMSHK","MINUT",30,"5/22/03","5/22/03"
"38-568","Jackson",-84.47259,42.08832,"Round Lake",4033,2003,"Status & Trends","ALL SPECIES","IGNET","LIFTS",4,"5/14/03","5/15/03"
"38-568","Jackson",-84.47259,42.08832,"Round Lake",4033,2003,"Status & Trends","ALL SPECIES","LMFYKE","LIFTS",4,"5/14/03","5/15/03"
"38-568","Jackson",-84.47259,42.08832,"Round Lake",4033,2003,"Status & Trends","ALL SPECIES","SEINE","HAULS",4,"5/15/03","5/15/03"
"38-568","Jackson",-84.47259,42.08832,"Round Lake",4033,2003,"Status & Trends","ALL SPECIES","TRAPNET","LIFTS",4,"5/14/03","5/15/03"
"36-2067","Iron",-88.88927,46.35221,"Paint Lake",4037,2003,"Status & Trends","ALL SPECIES","BOOMSHK","MINUT",30,"7/15/03","7/15/03"
"36-2067","Iron",-88.88927,46.35221,"Paint Lake",4037,2003,"Status & Trends","ALL SPECIES","IGNET","LIFTS",8,"6/9/03","6/11/03"
"36-2067","Iron",-88.88927,46.35221,"Paint Lake",4037,2003,"Status & Trends","ALL SPECIES","LMFYKE","LIFTS",24,"6/9/03","6/11/03"
"36-2067","Iron",-88.88927,46.35221,"Paint Lake",4037,2003,"Status & Trends","ALL SPECIES","SEINE","HAULS",3,"6/12/03","6/12/03"
"36-2067","Iron",-88.88927,46.35221,"Paint Lake",4037,2003,"Status & Trends","ALL SPECIES","SMFYKE","LIFTS",5,"6/9/03","6/11/03"
"25-11","Genesee",-83.84436,42.79065,"Lobdell Lake",4039,2003,"Status & Trends","ALL SPECIES","BOOMSHK","MINUT",30.6,"6/3/03","6/3/03"
"25-11","Genesee",-83.84436,42.79065,"Lobdell Lake",4039,2003,"Status & Trends","ALL SPECIES","IGNET","LIFTS",4,"5/19/03","5/20/03"
"25-11","Genesee",-83.84436,42.79065,"Lobdell Lake",4039,2003,"Status & Trends","ALL SPECIES","LMFYKE","LIFTS",9,"5/19/03","5/21/03"
"25-11","Genesee",-83.84436,42.79065,"Lobdell Lake",4039,2003,"Status & Trends","ALL SPECIES","SEINE","HAULS",5,"5/19/03","5/19/03"
"25-11","Genesee",-83.84436,42.79065,"Lobdell Lake",4039,2003,"Status & Trends","ALL SPECIES","TRAPNET","LIFTS",9,"5/19/03","5/21/03"
"48-485","Luce",-85.45093,46.64749,"Little Perch Lake",4040,2003,"Status & Trends","ALL SPECIES","IGNET","LIFTS",1,"5/27/03","5/27/03"
"48-485","Luce",-85.45093,46.64749,"Little Perch Lake",4040,2003,"Status & Trends","ALL SPECIES","LMFYKE","LIFTS",6,"5/27/03","5/28/03"
"48-485","Luce",-85.45093,46.64749,"Little Perch Lake",4040,2003,"Status & Trends","ALL SPECIES","SEINE","HAULS",2,"5/29/03","5/29/03"
"2-627","Alger",-86.2201,46.58221,"Kingston Lake",4053,2003,"Status & Trends","ALL SPECIES","BOOMSHK","MINUT",30,"7/28/03","7/28/03"
"2-627","Alger",-86.2201,46.58221,"Kingston Lake",4053,2003,"Status & Trends","ALL SPECIES","IGNET","LIFTS",2,"5/29/03","5/29/03"
"2-627","Alger",-86.2201,46.58221,"Kingston Lake",4053,2003,"Status & Trends","ALL SPECIES","LMFYKE","LIFTS",18,"5/27/03","5/29/03"
"2-627","Alger",-86.2201,46.58221,"Kingston Lake",4053,2003,"Status & Trends","ALL SPECIES","SEINE","HAULS",4,"5/27/03","5/27/03"
"2-627","Alger",-86.2201,46.58221,"Kingston Lake",4053,2003,"Status & Trends","ALL SPECIES","TRAPNET","LIFTS",9,"5/27/03","5/29/03"
"1-4","Alcona",-83.80491,44.56605,"Alcona Dam Pond",4079,2003,"Status & Trends","ALL SPECIES","IGNET","LIFTS",10,"6/9/03","6/11/03"
"1-4","Alcona",-83.80491,44.56605,"Alcona Dam Pond",4079,2003,"Status & Trends","ALL SPECIES","LMFYKE","LIFTS",18,"6/9/03","6/11/03"
"1-4","Alcona",-83.80491,44.56605,"Alcona Dam Pond",4079,2003,"Status & Trends","ALL SPECIES","TRAPNET","LIFTS",18,"6/9/03","6/11/03"
"60-71","Montmorency",-84.30343,44.97721,"Gaylanta Lake",4081,2003,"Status & Trends","ALL SPECIES","IGNET","LIFTS",4,"5/7/03","5/8/03"
"60-71","Montmorency",-84.30343,44.97721,"Gaylanta Lake",4081,2003,"Status & Trends","ALL SPECIES","LMFYKE","LIFTS",6,"5/6/03","5/8/03"
"60-71","Montmorency",-84.30343,44.97721,"Gaylanta Lake",4081,2003,"Status & Trends","ALL SPECIES","SMFYKE","LIFTS",4,"5/6/03","5/7/03"
"60-71","Montmorency",-84.30343,44.97721,"Gaylanta Lake",4081,2003,"Status & Trends","ALL SPECIES","TRAPNET","LIFTS",9,"5/6/03","5/8/03"
"71-27","PresqueIsle",-84.22121,45.2036,"Bear Den Lake",4082,2003,"Status & Trends","ALL SPECIES","BOOMSHK","MINUT",30.6,"7/1/03","7/1/03"
"71-27","PresqueIsle",-84.22121,45.2036,"Bear Den Lake",4082,2003,"Status & Trends","ALL SPECIES","IGNET","LIFTS",4,"6/16/03","6/17/03"
"71-27","PresqueIsle",-84.22121,45.2036,"Bear Den Lake",4082,2003,"Status & Trends","ALL SPECIES","LMFYKE","LIFTS",9,"6/16/03","6/18/03"
"71-27","PresqueIsle",-84.22121,45.2036,"Bear Den Lake",4082,2003,"Status & Trends","ALL SPECIES","SMFYKE","LIFTS",1,"6/16/03","6/16/03"
"48-53","Mackinac",-85.78343,46.23332,"Manistique Lake",4085,2003,"Status & Trends","ALL SPECIES","BOOMSHK","MINUT",30.6,"7/30/03","7/30/03"
"48-53","Mackinac",-85.78343,46.23332,"Manistique Lake",4085,2003,"Status & Trends","ALL SPECIES","IGNET","LIFTS",24,"6/16/03","6/19/03"
"48-53","Mackinac",-85.78343,46.23332,"Manistique Lake",4085,2003,"Status & Trends","ALL SPECIES","LMFYKE","LIFTS",32,"6/16/03","6/19/03"
"48-53","Mackinac",-85.78343,46.23332,"Manistique Lake",4085,2003,"Status & Trends","ALL SPECIES","SEINE","HAULS",10,"6/17/03","6/18/03"
"48-53","Mackinac",-85.78343,46.23332,"Manistique Lake",4085,2003,"Status & Trends","ALL SPECIES","TRAPNET","LIFTS",24,"6/16/03","6/19/03"
"49-280","Mackinac",-85.7626,46.17499,"S Manistique (Whitefish) Lake",4086,2003,"Status & Trends","ALL SPECIES","BOOMSHK","MINUT",30,"7/29/03","7/29/03"
"49-280","Mackinac",-85.7626,46.17499,"S Manistique (Whitefish) Lake",4086,2003,"Status & Trends","ALL SPECIES","IGNET","LIFTS",9,"6/2/03","6/4/03"
"49-280","Mackinac",-85.7626,46.17499,"S Manistique (Whitefish) Lake",4086,2003,"Status & Trends","ALL SPECIES","LMFYKE","LIFTS",39,"6/2/03","6/5/03"
"49-280","Mackinac",-85.7626,46.17499,"S Manistique (Whitefish) Lake",4086,2003,"Status & Trends","ALL SPECIES","SEINE","HAULS",6,"6/2/03","6/4/03"
"49-280","Mackinac",-85.7626,46.17499,"S Manistique (Whitefish) Lake",4086,2003,"Status & Trends","ALL SPECIES","TRAPNET","LIFTS",15,"6/2/03","6/4/03"
"48-49","Luce",-85.73899,46.28749,"Round (North Manistique) Lake",4087,2003,"Status & Trends","ALL SPECIES","BOOMSHK","MINUT",30,"7/31/03","7/31/03"
"48-49","Luce",-85.73899,46.28749,"Round (North Manistique) Lake",4087,2003,"Status & Trends","ALL SPECIES","IGNET","LIFTS",9,"6/9/03","6/11/03"
"48-49","Luce",-85.73899,46.28749,"Round (North Manistique) Lake",4087,2003,"Status & Trends","ALL SPECIES","LMFYKE","LIFTS",14,"6/9/03","6/12/03"
"48-49","Luce",-85.73899,46.28749,"Round (North Manistique) Lake",4087,2003,"Status & Trends","ALL SPECIES","SEINE","HAULS",6,"6/11/03","6/12/03"
"48-49","Luce",-85.73899,46.28749,"Round (North Manistique) Lake",4087,2003,"Status & Trends","ALL SPECIES","TRAPNET","LIFTS",16,"6/9/03","6/12/03"
"71-127","PresqueIsle",-83.46704,45.31332,"Lake Esau",4089,2003,"Status & Trends","ALL SPECIES","IGNET","LIFTS",10,"6/16/03","6/18/03"
"71-127","PresqueIsle",-83.46704,45.31332,"Lake Esau",4089,2003,"Status & Trends","ALL SPECIES","LMFYKE","LIFTS",4,"6/16/03","6/17/03"
"71-127","PresqueIsle",-83.46704,45.31332,"Lake Esau",4089,2003,"Status & Trends","ALL SPECIES","SEINE","HAULS",1,"6/16/03","6/16/03"
"71-127","PresqueIsle",-83.46704,45.31332,"Lake Esau",4089,2003,"Status & Trends","ALL SPECIES","TRAPNET","LIFTS",8,"6/16/03","6/17/03"
"69-316","Otsego",-84.49649,45.19249,"Mud Lake",4090,2003,"Status & Trends","ALL SPECIES","IGNET","LIFTS",1,"6/30/03","6/30/03"
"69-316","Otsego",-84.49649,45.19249,"Mud Lake",4090,2003,"Status & Trends","ALL SPECIES","LMFYKE","LIFTS",6,"6/30/03","7/1/03"
"69-316","Otsego",-84.49649,45.19249,"Mud Lake",4090,2003,"Status & Trends","ALL SPECIES","SMFYKE","LIFTS",1,"6/30/03","6/30/03"
"41-516","Kent",-85.66593,43.17665,"Camp Lake",4129,2003,"Status & Trends","ALL SPECIES","BOOMSHK","MINUT",56.23333333,"5/22/03","5/22/03"
"41-516","Kent",-85.66593,43.17665,"Camp Lake",4129,2003,"Status & Trends","ALL SPECIES","IGNET","LIFTS",4,"5/19/03","5/20/03"
"41-516","Kent",-85.66593,43.17665,"Camp Lake",4129,2003,"Status & Trends","ALL SPECIES","SEINE","HAULS",4,"5/21/03","5/21/03"
"41-516","Kent",-85.66593,43.17665,"Camp Lake",4129,2003,"Status & Trends","ALL SPECIES","TRAPNET","LIFTS",6,"5/19/03","5/20/03"
"36-1936","Iron",-88.87804,46.38528,"Tepee Lake",4134,2003,"Status & Trends","ALL SPECIES","BOOMSHK","MINUT",30,"7/8/03","7/8/03"
"36-1936","Iron",-88.87804,46.38528,"Tepee Lake",4134,2003,"Status & Trends","ALL SPECIES","IGNET","LIFTS",4,"6/16/03","6/17/03"
"36-1936","Iron",-88.87804,46.38528,"Tepee Lake",4134,2003,"Status & Trends","ALL SPECIES","LMFYKE","LIFTS",18,"6/16/03","6/18/03"
"36-1936","Iron",-88.87804,46.38528,"Tepee Lake",4134,2003,"Status & Trends","ALL SPECIES","SEINE","HAULS",2,"6/19/03","6/19/03"
"36-1936","Iron",-88.87804,46.38528,"Tepee Lake",4134,2003,"Status & Trends","ALL SPECIES","SMFYKE","LIFTS",6,"6/16/03","6/18/03"
"22-383","Dickinson",-87.98019,45.95526,"South Lake (Grov. Mine Pd. 4)",4135,2003,"Status & Trends","ALL SPECIES","BOOMSHK","MINUT",30,"7/9/03","7/9/03"
"22-383","Dickinson",-87.98019,45.95526,"South Lake (Grov. Mine Pd. 4)",4135,2003,"Status & Trends","ALL SPECIES","IGNET","LIFTS",7,"6/2/03","6/4/03"
"22-383","Dickinson",-87.98019,45.95526,"South Lake (Grov. Mine Pd. 4)",4135,2003,"Status & Trends","ALL SPECIES","LMFYKE","LIFTS",24,"6/2/03","6/4/03"
"22-383","Dickinson",-87.98019,45.95526,"South Lake (Grov. Mine Pd. 4)",4135,2003,"Status & Trends","ALL SPECIES","SMFYKE","LIFTS",6,"6/2/03","6/3/03"
"48-621","Luce",-85.67371,46.60638,"Deer Lake",4136,2003,"Status & Trends","ALL SPECIES","IGNET","LIFTS",1,"7/16/03","7/16/03"
"48-621","Luce",-85.67371,46.60638,"Deer Lake",4136,2003,"Status & Trends","ALL SPECIES","LMFYKE","LIFTS",6,"7/16/03","7/17/03"
"48-621","Luce",-85.67371,46.60638,"Deer Lake",4136,2003,"Status & Trends","ALL SPECIES","SEINE","HAULS",1,"7/17/03","7/17/03"
"48-622","Luce",-85.67982,46.60527,"Sid Lake",4137,2003,"Status & Trends","ALL SPECIES","IGNET","LIFTS",1,"7/16/03","7/16/03"
"48-622","Luce",-85.67982,46.60527,"Sid Lake",4137,2003,"Status & Trends","ALL SPECIES","LMFYKE","LIFTS",6,"7/16/03","7/17/03"
"48-622","Luce",-85.67982,46.60527,"Sid Lake",4137,2003,"Status & Trends","ALL SPECIES","SEINE","HAULS",1,"7/17/03","7/17/03"
"60-167","Montmorency",-83.98343,45.11249,"Ess Lake",4156,2003,"Status & Trends","ALL SPECIES","IGNET","LIFTS",8,"5/27/03","5/29/03"
"60-167","Montmorency",-83.98343,45.11249,"Ess Lake",4156,2003,"Status & Trends","ALL SPECIES","LMFYKE","LIFTS",9,"5/27/03","5/29/03"
"60-167","Montmorency",-83.98343,45.11249,"Ess Lake",4156,2003,"Status & Trends","ALL SPECIES","SMFYKE","LIFTS",1,"5/27/03","5/27/03"
"60-167","Montmorency",-83.98343,45.11249,"Ess Lake",4156,2003,"Status & Trends","ALL SPECIES","TRAPNET","LIFTS",9,"5/27/03","5/29/03"
"17-469","Chippewa",-85.22954,46.64138,"Sheephead Lake",4163,2003,"Status & Trends","ALL SPECIES","LMFYKE","LIFTS",20,"7/7/03","7/10/03"
"17-469","Chippewa",-85.22954,46.64138,"Sheephead Lake",4163,2003,"Status & Trends","ALL SPECIES","SEINE","HAULS",2,"7/10/03","7/10/03"
"17-469","Chippewa",-85.22954,46.64138,"Sheephead Lake",4163,2003,"Status & Trends","ALL SPECIES","SMFYKE","LIFTS",6,"7/8/03","7/10/03"
"26-20","Gladwin",-84.54704,44.02499,"Pratt Lake",4165,2003,"Status & Trends","ALL SPECIES","BOOMSHK","MINUT",30.6,"5/22/03","5/22/03"
"26-20","Gladwin",-84.54704,44.02499,"Pratt Lake",4165,2003,"Status & Trends","ALL SPECIES","IGNET","LIFTS",4,"5/5/03","5/6/03"
"26-20","Gladwin",-84.54704,44.02499,"Pratt Lake",4165,2003,"Status & Trends","ALL SPECIES","LMFYKE","LIFTS",12,"5/5/03","5/7/03"
"26-20","Gladwin",-84.54704,44.02499,"Pratt Lake",4165,2003,"Status & Trends","ALL SPECIES","SEINE","HAULS",5,"5/7/03","5/8/03"
"26-20","Gladwin",-84.54704,44.02499,"Pratt Lake",4165,2003,"Status & Trends","ALL SPECIES","TRAPNET","LIFTS",9,"5/5/03","5/7/03"
"26-2","Gladwin",-84.48406,43.88381,"Ross Lake",4169,2003,"Status & Trends","ALL SPECIES","BOOMSHK","MINUT",30,"5/22/03","5/23/03"
"26-2","Gladwin",-84.48406,43.88381,"Ross Lake",4169,2003,"Status & Trends","ALL SPECIES","IGNET","LIFTS",2,"5/12/03","5/12/03"
"26-2","Gladwin",-84.48406,43.88381,"Ross Lake",4169,2003,"Status & Trends","ALL SPECIES","LMFYKE","LIFTS",12,"5/12/03","5/14/03"
"26-2","Gladwin",-84.48406,43.88381,"Ross Lake",4169,2003,"Status & Trends","ALL SPECIES","SEINE","HAULS",4,"5/14/03","5/14/03"
"26-2","Gladwin",-84.48406,43.88381,"Ross Lake",4169,2003,"Status & Trends","ALL SPECIES","TRAPNET","LIFTS",12,"5/12/03","5/14/03"
"35-9","Iosco",-83.68093,44.32555,"Sand Lake",4181,2003,"Status & Trends","ALL SPECIES","BOOMSHK","MINUT",30,"5/30/03","5/30/03"
"35-9","Iosco",-83.68093,44.32555,"Sand Lake",4181,2003,"Status & Trends","ALL SPECIES","IGNET","LIFTS",4,"5/19/03","5/20/03"
"35-9","Iosco",-83.68093,44.32555,"Sand Lake",4181,2003,"Status & Trends","ALL SPECIES","LMFYKE","LIFTS",12,"5/19/03","5/21/03"
"35-9","Iosco",-83.68093,44.32555,"Sand Lake",4181,2003,"Status & Trends","ALL SPECIES","SEINE","HAULS",4,"5/20/03","5/21/03"
"35-9","Iosco",-83.68093,44.32555,"Sand Lake",4181,2003,"Status & Trends","ALL SPECIES","TRAPNET","LIFTS",11,"5/19/03","5/21/03"
"35-104","Iosco",-83.86954,44.3486,"Londo Lake",4198,2003,"Status & Trends","ALL SPECIES","BOOMSHK","MINUT",30,"5/29/03","5/29/03"
"35-104","Iosco",-83.86954,44.3486,"Londo Lake",4198,2003,"Status & Trends","ALL SPECIES","IGNET","LIFTS",2,"5/27/03","5/27/03"
"35-104","Iosco",-83.86954,44.3486,"Londo Lake",4198,2003,"Status & Trends","ALL SPECIES","LMFYKE","LIFTS",6,"5/27/03","5/28/03"
"35-104","Iosco",-83.86954,44.3486,"Londo Lake",4198,2003,"Status & Trends","ALL SPECIES","SEINE","HAULS",4,"5/28/03","5/28/03"
"35-104","Iosco",-83.86954,44.3486,"Londo Lake",4198,2003,"Status & Trends","ALL SPECIES","TRAPNET","LIFTS",6,"5/27/03","5/28/03"
"35-96","Iosco",-83.85399,44.41499,"Long Lake",4210,2003,"Status & Trends","ALL SPECIES","BOOMSHK","MINUT",30,"7/1/03","7/1/03"
